source_file,bytes,sha256,total_hits,falcon,heatseeker,flowseeker,midas,atlas,talon,athena,aegis,armed,fired,entry,triggered,watchlist,ratchet,settled_intrinsic,max_drawdown,skipped_entry,entry_style,limit_plan,spread_pct,playbook,setupName,confidence,grade_src,lifecycle,prem_series,dip_or_skip,shortly_after_fire,midday_book,runner_armed,market_entry_fire,rest_limit,gex,vex,gamma,king_node,gatekeeper,node,max_pain,put_call,get_full_gex_vex,get_gex_detail,get_options_metrics,get_node_enrichment,talon_scan,raw_flow,summarize_flow,levels_route,metrics_route,falcon_route,midas_route,contract_route,underlying_route,agents_route,setups_route,skills_route
1536-064f08115df39c50.js,502243,a5a40745fc58bf6045dc87236c625ab486d95837c3519070a7ca14650804e938,910,35,39,39,34,30,125,0,4,43,13,100,24,45,4,1,3,12,9,21,9,77,4,2,17,36,33,4,3,1,1,2,2,20,21,12,5,0,20,2,2,1,1,1,1,1,1,1,4,4,14,4,0,0,15,8,0
181-88cba17a6dc8c325.js,22094,5ed8468ff3c106afb8b94a9109a28b4c4b99dac99ad58b2c40b7a01ca2e192c7,89,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,20,22,13,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8593-0b7dc0fa05075470.js,52802,04995cb089646705b169a23214e8fe3c15ce4efe9f35e9bb3511c78cae121831,82,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,0,11,6,3,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,6
6514-bd56272b2716d98c.js,440192,a4bffe728a1d7aec6f5de490f5e982f77bfcd29411f0358a595ec99283418e68,69,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5231-7d6fdb6cc427b276.js,115697,e2c787106a85ab71c41ae736f039ef59396e180d6faef249e19d6667317e3212,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
page-ee729ac9decf605c.js,101234,58f9f63997edd3dbd3a733232d118417cdbb9e53e2e2487e87e5a546f3284e07,55,0,3,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,21,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7297-f12effc5f786481c.js,73082,a2b2ec0fa75f4e0fc118f83d186bb92d2d5d27f604ffa77156023ef00822d426,45,4,0,2,2,5,1,0,4,2,0,7,3,0,2,0,0,0,0,0,0,2,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7187-dbf517257821735b.js,33391,f9f9d384223ec1aa954c2d526510858e03a82578c6890af9126b1e4e640ee9eb,42,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,12,0,0,0
layout-f8c87dfd0b87bada.js,71873,a67ba2de2242b58d1cc88c11a2c0e8a3f4d2a2df8af40aff2421239c958aa33b,37,1,2,19,0,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5368-05ddc984de4127bf.js,45684,b06a242fb6136589657dd52485d8ee69291e4e7268d867f92b5d3f12bab0d9d6,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6898-c7df98ceb01066ec.js,95156,e6ef7244b798475e282264a02f0fc3d9327b8cdfaccd682989549e1918eb11f8,33,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,5,7,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7945-f6d188ac1d59a0f4.js,41287,08ad9376882ae3a0ff1b061ab728a7e4ac7d6b3f549ffcf6bc72a906bea81d9b,29,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,4,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9832-3e591358ebdb25b9.js,245986,eb0d77c40e8fc3fff1def59ea2dfd576a18ec623e1c83d175e4310dc243ab109,20,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9893-5c6f98ea9bf92f48.js,41688,5dbb912f718159c975fe8c31f61e9e8802b4c86f5ad2465dd826cce3ca84739a,20,0,0,0,0,0,0,0,0,0,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4712-c51afc57ca55d292.js,106946,fd834c0767c798b49a51ad9baf853ac245f408f1ce3ccc8f4074ab70e653a45f,19,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
7026-d5f1da6b0d5e5c29.js,28692,b3c60e10e2f5b71a2b02bad452025f97aabda2be4954918b29548a184cac0d0e,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5485-08719a466b890540.js,24838,c1e58f779a45ae0ccf77f76088a36e6234f6a763490fbdd1c0d1d30616eeda7d,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3477-b1b3280841e76470.js,50612,4b14ef5c94731a8d7d2f0b038104cd5db1ecf8e56c6041b7f97a26d3419bf828,13,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9201-a75db5e6a4c11e69.js,74632,6cb6e089c20d8dac870837737d554f47550d2b28d1714d466a3fa469a541115c,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
