file,keyword,occurrence,total_for_keyword,offset,context
_next__static__css__f8f6efbcd1e306ae.css,talon,1,6,219315,"humb,.glitch-slider:hover::-webkit-slider-thumb{transform:scale(1.2)}.glitch-slider::-moz-range-thumb{background:var(--glitch-slider-accent,#38bdf8);width:16px;height:16px;box-shadow:0 0 0 1px var(--glitch-slider-accent,#38bdf8),0 1px 5px #00000080;border:2px solid #fff;border-radius:50%}@keyframes talonEq{0%,to{height:3px}50%{height:12px}}@keyframes talonFin{0%{opacity:0;transform:translateY(-5px)}to{opacity:1;transform:none}}.talon-noscroll::-webkit-scrollbar{width:0;height:0}.velocity-mini-toolbar{flex-wrap:wrap}.velocity-mini-halo{flex-basis:100%;margin-top:8px}html.reduce-gpu,html.reduce-gpu *"
_next__static__css__f8f6efbcd1e306ae.css,talon,2,6,219368,"form:scale(1.2)}.glitch-slider::-moz-range-thumb{background:var(--glitch-slider-accent,#38bdf8);width:16px;height:16px;box-shadow:0 0 0 1px var(--glitch-slider-accent,#38bdf8),0 1px 5px #00000080;border:2px solid #fff;border-radius:50%}@keyframes talonEq{0%,to{height:3px}50%{height:12px}}@keyframes talonFin{0%{opacity:0;transform:translateY(-5px)}to{opacity:1;transform:none}}.talon-noscroll::-webkit-scrollbar{width:0;height:0}.velocity-mini-toolbar{flex-wrap:wrap}.velocity-mini-halo{flex-basis:100%;margin-top:8px}html.reduce-gpu,html.reduce-gpu *,html.reduce-gpu :after,html.reduce-gpu :before{-webk"
_next__static__css__f8f6efbcd1e306ae.css,talon,3,6,219447,"-accent,#38bdf8);width:16px;height:16px;box-shadow:0 0 0 1px var(--glitch-slider-accent,#38bdf8),0 1px 5px #00000080;border:2px solid #fff;border-radius:50%}@keyframes talonEq{0%,to{height:3px}50%{height:12px}}@keyframes talonFin{0%{opacity:0;transform:translateY(-5px)}to{opacity:1;transform:none}}.talon-noscroll::-webkit-scrollbar{width:0;height:0}.velocity-mini-toolbar{flex-wrap:wrap}.velocity-mini-halo{flex-basis:100%;margin-top:8px}html.reduce-gpu,html.reduce-gpu *,html.reduce-gpu :after,html.reduce-gpu :before{-webkit-backdrop-filter:none!important}html.reduce-gpu [class*=blur],html.reduce-gpu"
_next__static__css__f8f6efbcd1e306ae.css,talon,4,6,220135,"reduce-gpu .glitch-bubble-aura,html.reduce-gpu .glitch-bubble-ring,html.reduce-gpu .sniper-seg-attention,html.reduce-gpu .sniper-stale-dot{animation:none!important}html.reduce-gpu .glitch-bubble-aura{filter:none!important}html.reduce-gpu .animate-pulse,html.reduce-gpu .animate-spin,html.reduce-gpu .talon-comet{animation:none!important}.font-ui [data-talon-mono],.font-ui [data-talon-mono] *{font-family:Roboto Mono,ui-monospace,SFMono-Regular,SF Mono,Menlo,Consolas,monospace!important}@property --tw-translate-x{syntax:""*"";inherits:false;initial-value:0}@property --tw-translate-y{syntax:""*"";inherits:f"
_next__static__css__f8f6efbcd1e306ae.css,talon,5,6,220187,"ch-bubble-ring,html.reduce-gpu .sniper-seg-attention,html.reduce-gpu .sniper-stale-dot{animation:none!important}html.reduce-gpu .glitch-bubble-aura{filter:none!important}html.reduce-gpu .animate-pulse,html.reduce-gpu .animate-spin,html.reduce-gpu .talon-comet{animation:none!important}.font-ui [data-talon-mono],.font-ui [data-talon-mono] *{font-family:Roboto Mono,ui-monospace,SFMono-Regular,SF Mono,Menlo,Consolas,monospace!important}@property --tw-translate-x{syntax:""*"";inherits:false;initial-value:0}@property --tw-translate-y{syntax:""*"";inherits:false;initial-value:0}@property --tw-translate-z{synt"
_next__static__css__f8f6efbcd1e306ae.css,talon,6,6,220214,"gpu .sniper-seg-attention,html.reduce-gpu .sniper-stale-dot{animation:none!important}html.reduce-gpu .glitch-bubble-aura{filter:none!important}html.reduce-gpu .animate-pulse,html.reduce-gpu .animate-spin,html.reduce-gpu .talon-comet{animation:none!important}.font-ui [data-talon-mono],.font-ui [data-talon-mono] *{font-family:Roboto Mono,ui-monospace,SFMono-Regular,SF Mono,Menlo,Consolas,monospace!important}@property --tw-translate-x{syntax:""*"";inherits:false;initial-value:0}@property --tw-translate-y{syntax:""*"";inherits:false;initial-value:0}@property --tw-translate-z{syntax:""*"";inherits:false;initi"
_next__static__css__f8f6efbcd1e306ae.css,gex,1,1,15255,ight-medium);border-radius:.25rem;align-items:center;display:inline-flex}.badge-king{color:#a855f7;background-color:#a855f71a}.badge-pika{color:#eab308;background-color:#eab3081a}.badge-barney{color:#9333ea;background-color:#9333ea1a}.badge-gatekeeper{color:#f97316;background-color:#f973161a}.badge-gex{color:#3b82f6;background-color:#3b82f61a}.badge-vex{color:#f59e0b;background-color:#f59e0b1a}.table-header{--tw-font-weight:var(--font-weight-medium);font-weight:var(--font-weight-medium);--tw-tracking:var(--tracking-wide);letter-spacing:var(--tracking-wide);text-transform:uppercase;color:var(--col
_next__static__css__f8f6efbcd1e306ae.css,vex,1,1,15307,";display:inline-flex}.badge-king{color:#a855f7;background-color:#a855f71a}.badge-pika{color:#eab308;background-color:#eab3081a}.badge-barney{color:#9333ea;background-color:#9333ea1a}.badge-gatekeeper{color:#f97316;background-color:#f973161a}.badge-gex{color:#3b82f6;background-color:#3b82f61a}.badge-vex{color:#f59e0b;background-color:#f59e0b1a}.table-header{--tw-font-weight:var(--font-weight-medium);font-weight:var(--font-weight-medium);--tw-tracking:var(--tracking-wide);letter-spacing:var(--tracking-wide);text-transform:uppercase;color:var(--color-terminal-text-muted);font-family:Roboto Mono,ui-m"
_next__static__css__f8f6efbcd1e306ae.css,king,1,63,895,nt-position:initial;--tw-gradient-from:#0000;--tw-gradient-via:#0000;--tw-gradient-to:#0000;--tw-gradient-stops:initial;--tw-gradient-via-stops:initial;--tw-gradient-from-position:0%;--tw-gradient-via-position:50%;--tw-gradient-to-position:100%;--tw-leading:initial;--tw-font-weight:initial;--tw-tracking:initial;--tw-ordinal:initial;--tw-slashed-zero:initial;--tw-numeric-figure:initial;--tw-numeric-spacing:initial;--tw-numeric-fraction:initial;--tw-shadow:0 0 #0000;--tw-shadow-color:initial;--tw-shadow-alpha:100%;--tw-inset-shadow:0 0 #0000;--tw-inset-shadow-color:initial;--tw-inset-shadow-alpha:10
_next__static__css__f8f6efbcd1e306ae.css,king,2,63,7569,c(2/1.5);--text-3xl:1.875rem;--text-3xl--line-height:calc(2.25/1.875);--text-4xl:2.25rem;--text-4xl--line-height:calc(2.5/2.25);--text-5xl:3rem;--text-5xl--line-height:1;--font-weight-normal:400;--font-weight-medium:500;--font-weight-semibold:600;--font-weight-bold:700;--font-weight-black:900;--tracking-tight:-.025em;--tracking-normal:0em;--tracking-wide:.025em;--tracking-wider:.05em;--tracking-widest:.1em;--leading-tight:1.25;--leading-snug:1.375;--leading-normal:1.5;--leading-relaxed:1.625;--radius-xs:.125rem;--radius-2xl:1rem;--radius-3xl:1.5rem;--drop-shadow-sm:0 1px 2px #00000026;--ease-in:cu
